genus, genusid, subgenusid
Abrothallus,1,2001
Abrothallus,1,2002
Abrothallus,1,2006
Abrothallus,1,2011
Absconditella,2,1541
Absconditella,2,1535
Absconditella,2,8000
Absconditella,2,1540
Absconditella,2,1537
Acarospora,3,2914
Acarospora,3,29
Acarospora,3,8
Acarospora,3,10
Acarospora,3,11
Acarospora,3,13
Acarospora,3,2915
Acarospora,3,14
Acarospora,3,1563
Acarospora,3,8251
Acarospora,3,130
Acarospora,3,20
Acarospora,3,24
Acarospora,3,25
Acarospora,3,31
Acarospora,3,30
Acrocordia,5,32
Acrocordia,5,33
Acrocordia,5,34
Acrocordia,5,36
Adelococcus,6,2033
Adelolecia,7,1818
Agonimia,8,1149
Agonimia,8,6041
Agonimia,8,8275
Agonimia,8,37
Agonimia,8,6042
Agonimia,8,38
Alectoria,11,39
Alectoria,11,40
Alectoria,11,1647
Amandinea,13,212
Anaptychia,16,1829
Anaptychia,16,45
Anaptychia,16,1826
Anisomeridium,19,48
Anisomeridium,19,88
Anisomeridium,19,49
Anzina,23,1834
Arthonia,27,2798
Arthonia,27,61
Arthonia,27,72
Arthonia,27,56
Arthonia,27,1856
Arthonia,27,1858
Arthonia,27,302
Arthonia,27,1852
Arthonia,27,62
Arthonia,27,64
Arthonia,27,65
Arthonia,27,8021
Arthonia,27,1848
Arthonia,27,66
Arthonia,27,63
Arthonia,27,68
Arthonia,27,69
Arthonia,27,1861
Arthonia,27,70
Arthonia,27,73
Arthopyrenia,28,75
Arthopyrenia,28,81
Arthopyrenia,28,82
Arthopyrenia,28,4522
Arthopyrenia,28,89
Arthopyrenia,28,84
Arthopyrenia,28,2898
Arthopyrenia,28,1873
Arthopyrenia,28,1872
Arthopyrenia,28,91
Arthopyrenia,28,2395
Arthopyrenia,28,90
Arthopyrenia,28,1660
Arthothelium,29,1876
Arthothelium,29,97
Arthrorhaphis,30,99
Arthrorhaphis,30,100
Arthrorhaphis,30,1882
Arthrosporum,31,134
Aspicilia,35,127
Aspicilia,35,103
Aspicilia,35,104
Aspicilia,35,8283
Aspicilia,35,8284
Aspicilia,35,107
Aspicilia,35,1883
Aspicilia,35,112
Aspicilia,35,114
Aspicilia,35,1894
Aspicilia,35,8252
Aspicilia,35,4582
Aspicilia,35,1884
Athelia,37,1600
Bacidia,39,129
Bacidia,39,8253
Bacidia,39,131
Bacidia,39,132
Bacidia,39,2853
Bacidia,39,158
Bacidia,39,135
Bacidia,39,136
Bacidia,39,138
Bacidia,39,141
Bacidia,39,142
Bacidia,39,8285
Bacidia,39,144
Bacidia,39,8254
Bacidia,39,2828
Bacidia,39,157
Bacidia,39,310
Bacidia,39,149
Bacidia,39,153
Bacidia,39,155
Bacidia,39,159
Bacidia,39,6031
Bacidia,39,161
Bacidia,39,163
Bacidia,39,164
Bacidia,39,6038
Bacidia,39,168
Bacidia,39,1911
Bacidina,40,145
Bacidina,40,154
